Date,GBP/USD,EUR/USD,USD/JPY,USD/CHF,USD/CNY,USD/CAD,USD/MXN
2019-07-23,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-07-24,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-07-25,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-07-26,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-07-29,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-07-30,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-07-31,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-08-01,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-08-02,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9160
2019-08-05,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-08-06,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-08-07,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-08-08,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-08-09,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-08-12,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-08-13,1.3101,1.1105,105.95,0.9116,6.9119,1.3229,21.9650
2019-08-14,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-08-15,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-08-16,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-08-19,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-08-20,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-08-21,1.3191,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-08-22,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-08-23,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-08-26,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-08-27,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-08-28,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-08-29,1.3101,1.1845,105.95,0.9116,6.9119,1.3229,21.9650
2019-08-30,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-09-03,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-09-04,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-09-05,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-09-06,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-09-09,1.3201,1.2805,106.95,0.9016,6.8719,1.2229,21.9550
2019-09-10,1.3211,1.2815,116.95,0.9116,6.7119,1.2029,20.9550
2019-09-11,1.3001,1.1815,105.94,0.9106,6.9109,1.3909,21.9660
2019-09-12,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-09-13,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-09-16,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-09-17,1.3211,1.2815,116.95,0.9116,6.8190,1.2029,20.9550
2019-09-18,1.2211,1.2515,110.95,0.9416,6.8169,1.2069,20.9250
2019-09-19,1.3071,1.1424,105.87,0.9886,6.9469,1.3177,21.9230
2019-09-20,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-09-23,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-09-24,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-09-25,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-09-26,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-09-27,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-09-30,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-10-01,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-10-02,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-10-03,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-10-04,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-10-07,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-10-08,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-10-09,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-10-10,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-10-11,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-10-14,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-10-15,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-10-16,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-10-17,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-10-18,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-10-21,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-10-22,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-10-23,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-10-24,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-10-25,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-10-28,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-10-29,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-10-30,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-10-31,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-11-01,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-11-04,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-11-05,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-11-06,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-11-07,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-11-08,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-11-11,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-11-12,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-11-13,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-11-14,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-11-15,1.2211,1.2515,110.95,0.9416,6.8169,1.2069,20.9250
2019-11-18,1.3071,1.1424,105.87,0.9886,6.9469,1.3177,21.9230
2019-11-19,1.3071,1.1424,105.87,0.9886,6.9469,1.3177,21.9230
2019-11-20,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-11-21,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-11-22,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-11-25,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-11-26,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-11-27,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-11-29,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-12-02,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-12-03,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-12-04,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-12-05,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-12-06,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-12-09,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-12-10,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-12-11,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-12-12,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-12-13,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-12-16,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-12-17,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-12-18,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-12-19,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-12-20,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-12-23,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2019-12-24,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2019-12-26,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2019-12-27,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2019-12-30,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2019-12-31,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-01-02,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-01-03,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-01-06,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-01-07,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-01-08,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-01-09,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-01-10,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-01-13,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-01-14,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-01-15,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-01-16,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-01-17,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-01-21,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-01-22,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-01-23,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-01-24,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-01-27,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-01-28,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-01-29,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-01-30,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-01-31,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-02-03,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-02-04,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-02-05,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-02-06,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-02-07,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-02-10,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-02-11,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-02-12,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-02-13,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-02-14,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-02-18,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-02-19,1.2211,1.2515,110.95,0.9416,6.8169,1.2069,20.9250
2020-02-20,1.3071,1.1424,105.87,0.9886,6.9469,1.3177,21.9230
2020-02-21,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-02-24,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-02-25,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-02-26,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-02-27,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-02-28,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-03-02,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-03-03,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-03-04,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-03-05,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-03-06,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-03-09,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-03-10,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-03-11,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-03-12,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-03-13,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-03-16,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-03-17,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-03-18,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-03-20,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-03-23,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-03-24,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-03-25,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-03-26,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-03-27,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-03-30,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-03-31,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-04-01,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-04-02,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-04-03,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-04-06,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-04-07,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-04-08,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-04-09,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-04-13,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-04-14,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-04-15,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-04-16,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-04-17,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-04-20,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-04-21,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-04-22,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-04-23,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-04-24,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-04-27,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-04-28,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-04-29,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-04-30,1.3201,1.2805,106.95,0.9016,6.8119,1.2229,21.9550
2020-05-01,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-05-04,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-05-06,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-05-07,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-05-08,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
2020-05-11,1.3211,1.2815,116.95,0.9116,6.8119,1.2029,20.9550
2020-05-13,1.3001,1.1815,105.94,0.9106,6.9109,1.3209,21.9660
2020-05-14,1.3121,1.1804,105.90,0.9006,6.9019,1.3227,21.9630
2020-05-15,1.3101,1.1805,105.95,0.9116,6.9119,1.3229,21.9650
